100000,100000,100005,0
100001,100001,100006,0
100002,100001,100009,0
100003,100002,100008,0
100004,100002,100009,0
100005,100003,100000,0
100006,100003,100001,0
100007,100003,100003,0
100008,100003,100002,0
100009,100003,100004,0
100010,100003,100007,0
100011,100003,15602,0
100012,100003,100010,0
100013,100003,100011,0
100014,100003,15019,0
100015,100003,15020,0
100020,100020,100025,0
100021,100021,100026,0
100022,100021,100029,0
100023,100022,100028,0
100024,100022,100029,0
100025,100023,100020,0
100026,100023,100021,0
100027,100023,100022,0
100028,100023,100023,0
100029,100023,100024,0
100030,100023,100027,0
100031,100023,15019,0
100032,100023,15031,0
100033,100023,100030,0
100034,100023,100031,0
